역사명,방향,DAY,END,SAT,차이(주중-주말),평균
덕계,UP,18.67,20.11,20.11,-1.4399999999999977,19.39
보산,UP,18.67,20.11,20.11,-1.4399999999999977,19.39
두정,DOWN,18.51,19.16,19.16,-0.6499999999999986,18.84
송탄,DOWN,18.51,19.16,19.16,-0.6499999999999986,18.84
오산대,DOWN,18.51,19.16,19.16,-0.6499999999999986,18.84
세마,DOWN,18.51,19.16,19.16,-0.6499999999999986,18.84
성환,DOWN,18.51,19.16,19.16,-0.6499999999999986,18.84
서정리,DOWN,18.51,19.16,19.16,-0.6499999999999986,18.84
직산,DOWN,18.51,19.16,19.16,-0.6499999999999986,18.84
오산,DOWN,18.51,19.16,19.16,-0.6499999999999986,18.84
평택지제,DOWN,18.51,19.16,19.16,-0.6499999999999986,18.84
천안,DOWN,18.51,19.16,19.16,-0.6499999999999986,18.84
진위,DOWN,18.51,19.16,19.16,-0.6499999999999986,18.84
평택,DOWN,18.51,19.16,19.16,-0.6499999999999986,18.84
서정리,UP,18.06,19.13,19.13,-1.0700000000000003,18.6
송탄,UP,18.06,19.13,19.13,-1.0700000000000003,18.6
세마,UP,18.06,19.13,19.13,-1.0700000000000003,18.6
성환,UP,18.06,19.13,19.13,-1.0700000000000003,18.6
두정,UP,18.06,19.13,19.13,-1.0700000000000003,18.6
오산,UP,18.06,19.13,19.13,-1.0700000000000003,18.6
오산대,UP,18.06,19.13,19.13,-1.0700000000000003,18.6
진위,UP,18.06,19.13,19.13,-1.0700000000000003,18.6
직산,UP,18.06,19.13,19.13,-1.0700000000000003,18.6
평택지제,UP,18.06,19.13,19.13,-1.0700000000000003,18.6
평택,UP,18.06,19.13,19.13,-1.0700000000000003,18.6
가능,DOWN,12.07,13.09,13.09,-1.0199999999999996,12.58
의정부,DOWN,12.07,13.09,13.09,-1.0199999999999996,12.58
녹양,DOWN,12.07,13.09,13.09,-1.0199999999999996,12.58
양주,UP,11.86,12.99,12.99,-1.1300000000000008,12.42
녹양,UP,11.86,12.99,12.99,-1.1300000000000008,12.42
가능,UP,11.86,12.99,12.99,-1.1300000000000008,12.42
병점,UP,10.17,11.1,11.1,-0.9299999999999997,10.64
동암,DOWN,10.69,10.44,10.44,0.25,10.56
간석,DOWN,10.69,10.44,10.44,0.25,10.56
동인천,DOWN,10.69,10.44,10.44,0.25,10.56
도원,DOWN,10.69,10.44,10.44,0.25,10.56
도화,DOWN,10.69,10.44,10.44,0.25,10.56
인천,DOWN,10.69,10.44,10.44,0.25,10.56
백운,DOWN,10.69,10.44,10.44,0.25,10.56
의왕,DOWN,10.36,10.77,10.77,-0.41000000000000014,10.56
제물포,DOWN,10.69,10.44,10.44,0.25,10.56
주안,DOWN,10.69,10.44,10.44,0.25,10.56
명학,DOWN,10.36,10.67,10.67,-0.3100000000000005,10.52
화서,DOWN,10.36,10.67,10.67,-0.3100000000000005,10.52
성균관대,DOWN,10.36,10.67,10.67,-0.3100000000000005,10.52
세류,DOWN,10.36,10.67,10.67,-0.3100000000000005,10.52
병점,DOWN,10.37,10.67,10.67,-0.3000000000000007,10.52
안양,DOWN,10.36,10.67,10.67,-0.3100000000000005,10.52
수원,DOWN,10.36,10.67,10.67,-0.3100000000000005,10.52
관악,DOWN,10.36,10.67,10.67,-0.3100000000000005,10.52
군포,DOWN,10.36,10.67,10.67,-0.3100000000000005,10.52
당정,DOWN,10.36,10.67,10.67,-0.3100000000000005,10.52
금정,DOWN,10.36,10.67,10.67,-0.3100000000000005,10.52
석수,DOWN,10.36,10.67,10.67,-0.3100000000000005,10.52
동암,UP,10.59,10.42,10.42,0.16999999999999993,10.5
도화,UP,10.59,10.42,10.42,0.16999999999999993,10.5
도원,UP,10.59,10.42,10.42,0.16999999999999993,10.5
주안,UP,10.59,10.42,10.42,0.16999999999999993,10.5
제물포,UP,10.59,10.42,10.42,0.16999999999999993,10.5
부평,UP,10.59,10.42,10.42,0.16999999999999993,10.5
동인천,UP,10.59,10.42,10.42,0.16999999999999993,10.5
간석,UP,10.59,10.42,10.42,0.16999999999999993,10.5
백운,UP,10.59,10.42,10.42,0.16999999999999993,10.5
중동,DOWN,10.4,10.44,10.44,-0.03999999999999915,10.42
오류동,DOWN,10.4,10.44,10.44,-0.03999999999999915,10.42
부천,DOWN,10.4,10.44,10.44,-0.03999999999999915,10.42
부개,DOWN,10.4,10.44,10.44,-0.03999999999999915,10.42
소사,DOWN,10.4,10.44,10.44,-0.03999999999999915,10.42
온수,DOWN,10.4,10.44,10.44,-0.03999999999999915,10.42
부평,DOWN,10.4,10.44,10.44,-0.03999999999999915,10.42
송내,DOWN,10.4,10.44,10.44,-0.03999999999999915,10.42
구일,DOWN,10.4,10.44,10.44,-0.03999999999999915,10.42
역곡,DOWN,10.4,10.44,10.44,-0.03999999999999915,10.42
개봉,DOWN,10.4,10.44,10.44,-0.03999999999999915,10.42
명학,UP,10.17,10.65,10.65,-0.4800000000000004,10.41
당정,UP,10.17,10.65,10.65,-0.4800000000000004,10.41
금정,UP,10.17,10.65,10.65,-0.4800000000000004,10.41
군포,UP,10.17,10.65,10.65,-0.4800000000000004,10.41
관악,UP,10.17,10.65,10.65,-0.4800000000000004,10.41
안양,UP,10.17,10.65,10.65,-0.4800000000000004,10.41
의왕,UP,10.17,10.65,10.65,-0.4800000000000004,10.41
화서,UP,10.17,10.65,10.65,-0.4800000000000004,10.41
석수,UP,10.17,10.65,10.65,-0.4800000000000004,10.41
수원,UP,10.17,10.65,10.65,-0.4800000000000004,10.41
성균관대,UP,10.17,10.65,10.65,-0.4800000000000004,10.41
세류,UP,10.17,10.65,10.65,-0.4800000000000004,10.41
소사,UP,10.29,10.45,10.45,-0.16000000000000014,10.37
부개,UP,10.29,10.45,10.45,-0.16000000000000014,10.37
부천,UP,10.29,10.45,10.45,-0.16000000000000014,10.37
역곡,UP,10.29,10.45,10.45,-0.16000000000000014,10.37
중동,UP,10.29,10.45,10.45,-0.16000000000000014,10.37
온수,UP,10.29,10.45,10.45,-0.16000000000000014,10.37
오류동,UP,10.29,10.45,10.45,-0.16000000000000014,10.37
송내,UP,10.29,10.45,10.45,-0.16000000000000014,10.37
개봉,UP,10.29,10.45,10.45,-0.16000000000000014,10.37
구일,UP,10.29,10.45,10.45,-0.16000000000000014,10.37
월계,DOWN,9.63,10.48,10.48,-0.8499999999999996,10.06
녹천,DOWN,9.63,10.48,10.48,-0.8499999999999996,10.06
광운대,DOWN,9.63,10.48,10.48,-0.8499999999999996,10.06
도봉,DOWN,9.52,10.48,10.48,-0.9600000000000009,10.0
도봉산,DOWN,9.52,10.48,10.48,-0.9600000000000009,10.0
망월사,DOWN,9.52,10.48,10.48,-0.9600000000000009,10.0
