호선,역사명,방향,주중주말,평균배차간격_분,최소배차간격_분,최대배차간격_분,표준편차,측정횟수
5,강동,DOWN,END,6.787784679089026,6.5,15.0,1.1596496683684843,161
5,강동,DOWN,SAT,6.787784679089026,6.5,15.0,1.1596496683684843,161
5,강동,UP,DAY,5.589743589743589,1.5,14.0,1.842854903426547,195
5,강동,UP,END,6.798136645962733,6.5,13.0,1.0298344557312016,161
5,강동,UP,SAT,6.798136645962733,6.5,13.0,1.0298344557312016,161
5,강일,DOWN,DAY,11.617753623188408,4.833333333333333,17.0,2.7026575402557493,92
5,강일,DOWN,END,13.441666666666668,8.166666666666666,31.5,2.4484990666375377,80
5,강일,DOWN,SAT,13.441666666666668,8.166666666666666,31.5,2.4484990666375377,80
5,강일,UP,DAY,12.247191011235955,4.0,27.0,3.9335638382277764,89
5,강일,UP,END,14.30921052631579,13.0,28.0,3.6459723031158258,76
5,강일,UP,SAT,14.30921052631579,13.0,28.0,3.6459723031158258,76
5,개롱,DOWN,DAY,9.930303030303032,2.8333333333333335,16.5,3.281895307356938,110
5,개롱,DOWN,END,12.927450980392155,4.333333333333333,21.166666666666668,2.0776027627924094,85
5,개롱,DOWN,SAT,12.927450980392155,4.333333333333333,21.166666666666668,2.0776027627924094,85
5,개롱,UP,DAY,11.46875,5.0,25.5,3.3061445983597206,96
5,개롱,UP,END,13.5875,13.0,25.5,2.0372713819087296,80
5,개롱,UP,SAT,13.5875,13.0,25.5,2.0372713819087296,80
5,개화산,DOWN,DAY,5.695876288659794,2.5,18.0,1.7559029990660533,194
5,개화산,DOWN,END,6.726708074534161,6.5,12.5,0.7765112494335767,161
5,개화산,DOWN,SAT,6.726708074534161,6.5,12.5,0.7765112494335767,161
5,개화산,UP,DAY,5.610243055555556,2.5,14.833333333333334,1.6548883460816617,192
5,개화산,UP,END,6.744791666666667,6.5,14.833333333333334,0.9280401482540982,160
5,개화산,UP,SAT,6.744791666666667,6.5,14.833333333333334,0.9280401482540982,160
5,거여,DOWN,DAY,9.930303030303032,2.8333333333333335,16.5,3.281895307356938,110
