구간,방향,복합지표_DAY,복합지표_END,복합지표_SAT,평균배차간격_분_DAY,평균배차간격_분_END,평균배차간격_분_SAT,평균소요시간_분_DAY,평균소요시간_분_END,평균소요시간_분_SAT,복합지표_차이(주중-주말)
망월사 → 도봉산,DOWN,23.81,26.19,26.19,9.52,10.48,10.48,2.5,2.5,2.5,-2.3800000000000026
오산대 → 오산,DOWN,64.59,67.04,67.04,18.51,19.16,19.16,3.49,3.5,3.5,-2.450000000000003
오산대 → 세마,UP,45.32,47.82,47.82,18.06,19.13,19.13,2.51,2.5,2.5,-2.5
의정부 → 회룡,DOWN,30.17,32.72,32.72,12.07,13.09,13.09,2.5,2.5,2.5,-2.549999999999997
두정 → 천안,DOWN,74.03,76.62,76.62,18.51,19.16,19.16,4.0,4.0,4.0,-2.5900000000000034
성환 → 직산,DOWN,74.03,76.62,76.62,18.51,19.16,19.16,4.0,4.0,4.0,-2.5900000000000034
세마 → 병점,UP,45.14,47.82,47.82,18.06,19.13,19.13,2.5,2.5,2.5,-2.6799999999999997
평택지제 → 평택,DOWN,73.85,76.62,76.62,18.51,19.16,19.16,3.99,4.0,4.0,-2.7700000000000102
서정리 → 평택지제,DOWN,73.85,76.62,76.62,18.51,19.16,19.16,3.99,4.0,4.0,-2.7700000000000102
양주 → 녹양,DOWN,37.75,40.53,40.53,18.87,20.26,20.26,2.0,2.0,2.0,-2.780000000000001
보산 → 동두천중앙,DOWN,37.75,40.53,40.53,18.87,20.26,20.26,2.0,2.0,2.0,-2.780000000000001
서정리 → 송탄,UP,44.96,47.82,47.82,18.06,19.13,19.13,2.49,2.5,2.5,-2.8599999999999994
보산 → 동두천,UP,37.33,40.22,40.22,18.67,20.11,20.11,2.0,2.0,2.0,-2.8900000000000006
동두천중앙 → 보산,UP,37.33,40.22,40.22,18.67,20.11,20.11,2.0,2.0,2.0,-2.8900000000000006
직산 → 두정,DOWN,83.29,86.2,86.2,18.51,19.16,19.16,4.5,4.5,4.5,-2.9099999999999966
진위 → 오산,UP,54.35,57.58,57.58,18.06,19.13,19.13,3.01,3.01,3.01,-3.229999999999997
송탄 → 진위,UP,54.17,57.58,57.58,18.06,19.13,19.13,3.0,3.01,3.01,-3.4099999999999966
병점 → 세류,UP,41.0,44.8,44.8,10.25,11.2,11.2,4.0,4.0,4.0,-3.799999999999997
오산 → 오산대,UP,63.02,66.95,66.95,18.06,19.13,19.13,3.49,3.5,3.5,-3.9299999999999997
덕계 → 덕정,UP,56.37,60.33,60.33,18.67,20.11,20.11,3.02,3.0,3.0,-3.960000000000001
덕정 → 덕계,DOWN,56.81,60.79,60.79,18.87,20.26,20.26,3.01,3.0,3.0,-3.979999999999997
직산 → 성환,UP,72.41,76.52,76.52,18.06,19.13,19.13,4.01,4.0,4.0,-4.109999999999999
평택 → 평택지제,UP,72.41,76.52,76.52,18.06,19.13,19.13,4.01,4.0,4.0,-4.109999999999999
평택지제 → 서정리,UP,72.23,76.52,76.52,18.06,19.13,19.13,4.0,4.0,4.0,-4.289999999999992
